manufactureName|name|url|imagesrcURL
Apple|iPhone SE (2020)|https://www.gsmarena.com/apple_iphone_se_(2020)-10170.php|https://fdn2.gsmarena.com/vv/bigpic/apple-iphone-se-2020.jpg
Apple|iPad Pro 12.9 (2020)|https://www.gsmarena.com/apple_ipad_pro_12_9_(2020)-10136.php|https://fdn2.gsmarena.com/vv/bigpic/apple-ipad-pro-12-2020.jpg
Apple|iPad Pro 11 (2020)|https://www.gsmarena.com/apple_ipad_pro_11_(2020)-10137.php|https://fdn2.gsmarena.com/vv/bigpic/apple-ipad-pro-11-2020.jpg
Apple|iPhone 11 Pro Max|https://www.gsmarena.com/apple_iphone_11_pro_max-9846.php|https://fdn2.gsmarena.com/vv/bigpic/apple-iphone-11-pro.jpg
Apple|iPhone 11 Pro|https://www.gsmarena.com/apple_iphone_11_pro-9847.php|https://fdn2.gsmarena.com/vv/bigpic/apple-iphone-11-pro-max-.jpg
Apple|iPhone 11|https://www.gsmarena.com/apple_iphone_11-9848.php|https://fdn2.gsmarena.com/vv/bigpic/apple-iphone-11.jpg
Apple|iPad 10.2|https://www.gsmarena.com/apple_ipad_10_2-9857.php|https://fdn2.gsmarena.com/vv/bigpic/apple-ipad7-102-inches.jpg
Apple|Watch Edition Series 5|https://www.gsmarena.com/apple_watch_edition_series_5-9860.php|https://fdn2.gsmarena.com/vv/bigpic/apple-watch-edition-series-5.jpg
Apple|Watch Series 5|https://www.gsmarena.com/apple_watch_series_5-9859.php|https://fdn2.gsmarena.com/vv/bigpic/apple-watch-series-5.jpg
Apple|Watch Series 5 Aluminum|https://www.gsmarena.com/apple_watch_series_5_aluminum-9858.php|https://fdn2.gsmarena.com/vv/bigpic/apple-watch-aluminum-series-5.jpg
Apple|iPad Air (2019)|https://www.gsmarena.com/apple_ipad_air_(2019)-9638.php|https://fdn2.gsmarena.com/vv/bigpic/apple-ipad-air3-2019.jpg
Apple|iPad mini (2019)|https://www.gsmarena.com/apple_ipad_mini_(2019)-9637.php|https://fdn2.gsmarena.com/vv/bigpic/apple-ipad-mini-2019.jpg
Apple|iPad Pro 12.9 (2018)|https://www.gsmarena.com/apple_ipad_pro_12_9_(2018)-9387.php|https://fdn2.gsmarena.com/vv/bigpic/apple-ipad-pro-129-2018.jpg
Apple|iPad Pro 11 (2018)|https://www.gsmarena.com/apple_ipad_pro_11_(2018)-9386.php|https://fdn2.gsmarena.com/vv/bigpic/apple-ipad-pro-11-2018.jpg
Apple|iPhone XS Max|https://www.gsmarena.com/apple_iphone_xs_max-9319.php|https://fdn2.gsmarena.com/vv/bigpic/apple-iphone-xs-max-new1.jpg
Apple|iPhone XS|https://www.gsmarena.com/apple_iphone_xs-9318.php|https://fdn2.gsmarena.com/vv/bigpic/apple-iphone-xs-new.jpg
Apple|iPhone XR|https://www.gsmarena.com/apple_iphone_xr-9320.php|https://fdn2.gsmarena.com/vv/bigpic/apple-iphone-xr-new.jpg
Apple|Watch Series 4|https://www.gsmarena.com/apple_watch_series_4-9321.php|https://fdn2.gsmarena.com/vv/bigpic/apple-watch-series-4-steel.jpg
Apple|Watch Series 4 Aluminum|https://www.gsmarena.com/apple_watch_series_4_aluminum-9322.php|https://fdn2.gsmarena.com/vv/bigpic/apple-watch-series-4-aluminum.jpg
Apple|iPad 9.7 (2018)|https://www.gsmarena.com/apple_ipad_9_7_(2018)-9142.php|https://fdn2.gsmarena.com/vv/bigpic/apple-ipad-97-2018.jpg
